# l   Dl_TT   Dl_TE   Dl_EE
1.960000000000000000e+02 6.949032997404146954e+02 -1.081275847870947077e-01 9.128559875464514750e-02
1.970000000000000000e+02 6.956125931440312797e+02 8.984765096184038624e-02 9.266927949558444177e-02
1.980000000000000000e+02 6.962319471247320735e+02 2.900877742238430756e-01 9.423945976684387771e-02
1.990000000000000000e+02 6.967609758081745213e+02 4.924900086463243620e-01 9.600267823283727131e-02
2.000000000000000000e+02 6.971993139430817337e+02 6.969478338432034681e-01 9.796557593453483759e-02
2.010000000000000000e+02 6.975466585519141063e+02 9.033564902397801522e-01 1.001344844565514175e-01
2.020000000000000000e+02 6.978028966910914050e+02 1.111630015103778346e+00 1.025141563507783043e-01
2.030000000000000000e+02 6.979679872978575759e+02 1.321685347586706305e+00 1.051089451207543046e-01
2.040000000000000000e+02 6.980419209677373829e+02 1.533436869682621717e+00 1.079232089337837375e-01
2.050000000000000000e+02 6.980247203208406290e+02 1.746796382560545924e+00 1.109613100245896156e-01
2.060000000000000000e+02 6.979164403681680824e+02 1.961673082896875586e+00 1.142276140989663819e-01
2.070000000000000000e+02 6.977171688779164924e+02 2.177973539207798570e+00 1.177264897374331737e-01
2.080000000000000000e+02 6.974270267417829245e+02 2.395601668181705168e+00 1.214623077988865735e-01
2.090000000000000000e+02 6.970461683412710272e+02 2.614458711011601100e+00 1.254394408242537062e-01
2.100000000000000000e+02 6.965747819139960484e+02 2.834443209727525392e+00 1.296622624401453372e-01
2.110000000000000000e+02 6.960130899199888290e+02 3.055450983528958719e+00 1.341351467625086502e-01
2.120000000000000000e+02 6.953613494080025248e+02 3.277375105117237730e+00 1.388624678002804425e-01
2.130000000000000000e+02 6.946198523818168269e+02 3.500105877027970713e+00 1.438485988590398612e-01
2.140000000000000000e+02 6.937889261665428648e+02 3.723530807963449263e+00 1.490979119446616541e-01
2.150000000000000000e+02 6.928689337749297010e+02 3.947534589125063942e+00 1.546147771669691418e-01
2.160000000000000000e+02 6.918602742736675282e+02 4.171999070545711064e+00 1.604035621433869407e-01
2.170000000000000000e+02 6.907633831496946186e+02 4.396803237422214572e+00 1.664686314025942138e-01
2.180000000000000000e+02 6.895787326765016587e+02 4.621823186447737264e+00 1.728143457881776701e-01
2.190000000000000000e+02 6.883068322804365380e+02 4.846932102144188903e+00 1.794450618622843996e-01
2.200000000000000000e+02 6.869482289070106162e+02 5.072000233194643215e+00 1.863651313092749007e-01
2.210000000000000000e+02 6.855035073872022622e+02 5.296894868775755327e+00 1.935789003393761643e-01
2.220000000000000000e+02 6.839732908037639163e+02 5.521480314890171215e+00 2.010907090923345908e-01
2.230000000000000000e+02 6.823582408575257432e+02 5.745617870698935370e+00 2.089048910410689630e-01
2.240000000000000000e+02 6.806590426345999276e+02 5.969173969625802378e+00 2.170253261497452624e-01
2.250000000000000000e+02 6.788763570611603200e+02 6.192045233203293364e+00 2.254540696660104204e-01
