# l   cl_TT   cl_TE   cl_EE
1.890000000000000000e+02 7.443770582428807074e+02 -4.536182377458906956e+00 1.057074397145311706e-01
1.900000000000000000e+02 7.472897681853456788e+02 -4.428820174859207981e+00 1.045724150329979396e-01
1.910000000000000000e+02 7.501427418541742327e+02 -4.318100383463097991e+00 1.034676885835067867e-01
1.920000000000000000e+02 7.529351510497600657e+02 -4.204041161629534784e+00 1.023969753104206903e-01
1.930000000000000000e+02 7.556661640064622816e+02 -4.086662827798724251e+00 1.013640899337146656e-01
1.940000000000000000e+02 7.583349453323494345e+02 -3.965987889911072539e+00 1.003729479368340866e-01
1.950000000000000000e+02 7.609406559489489155e+02 -3.842041074826159530e+00 9.942756655455328718e-02
1.960000000000000000e+02 7.634824530309922466e+02 -3.714849357741678570e+00 9.853206576083368973e-02
1.970000000000000000e+02 7.659594899461632167e+02 -3.584441991612411282e+00 9.769066925668253021e-02
1.980000000000000000e+02 7.683709161948432893e+02 -3.450850536569176619e+00 9.690770545801100089e-02
1.990000000000000000e+02 7.707158773498599658e+02 -3.314108889337799013e+00 9.618760848349296178e-02
2.000000000000000000e+02 7.729935149962336709e+02 -3.174253312658060100e+00 9.553491914242313865e-02
2.010000000000000000e+02 7.752030244994614350e+02 -3.031320409278599026e+00 9.495410361826453483e-02
2.020000000000000000e+02 7.773438330341487017e+02 -2.885340821487843321e+00 9.444899303178788674e-02
2.030000000000000000e+02 7.794154341707666163e+02 -2.736345137743740441e+00 9.402330570377584462e-02
2.040000000000000000e+02 7.814173313000458165e+02 -2.584365930841715286e+00 9.368082630738243377e-02
2.050000000000000000e+02 7.833490377436356766e+02 -2.429437781258778184e+00 9.342540631718738997e-02
2.060000000000000000e+02 7.852100768647658242e+02 -2.271597300497643079e+00 9.326096445825059200e-02
2.070000000000000000e+02 7.869999821789049292e+02 -2.110883154430840403e+00 9.319148715516673009e-02
2.080000000000000000e+02 7.887182974644232445e+02 -1.947336086644827047e+00 9.322102898111973845e-02
2.090000000000000000e+02 7.903645768732496890e+02 -1.780998941784102563e+00 9.335371310693707514e-02
2.100000000000000000e+02 7.919383850415351844e+02 -1.611916688895324246e+00 9.359373175014458479e-02
2.110000000000000000e+02 7.934392972003114437e+02 -1.440136444771415114e+00 9.394534662402061198e-02
2.120000000000000000e+02 7.948668992861510105e+02 -1.265707497295683659e+00 9.441288938665078068e-02
2.130000000000000000e+02 7.962207880518286629e+02 -1.088681328785930935e+00 9.500076208998232963e-02
2.140000000000000000e+02 7.975005711769803156e+02 -9.091116393385684225e-01 9.571343762887858653e-02
2.150000000000000000e+02 7.987058673787649923e+02 -7.270543701727313346e-01 9.655546019017353931e-02
2.160000000000000000e+02 7.998363065225232731e+02 -5.425677269743883757e-01 9.753144570172628258e-02
2.170000000000000000e+02 8.008915297324390394e+02 -3.557122032404584910e-01 9.864608228147546398e-02
2.180000000000000000e+02 8.018711895021988312e+02 -1.665506036229227604e-01 9.990413068649389716e-02
2.190000000000000000e+02 8.027749498056527955e+02 2.485193272706118575e-02 1.013104247620428972e-01
2.200000000000000000e+02 8.036024862074744988e+02 2.184279088150472281e-01 1.028698718906268655e-01
2.210000000000000000e+02 8.043534859738211935e+02 4.141074464591861792e-01 1.045874534410477369e-01
2.220000000000000000e+02 8.050276481829946533e+02 6.118182629461137445e-01 1.064682252174595362e-01
2.230000000000000000e+02 8.056246838361009850e+02 8.114856476868342883e-01 1.085173179084227141e-01
2.240000000000000000e+02 8.061443452897655106e+02 1.013036206893608737e+00 1.107396522624207458e-01
2.250000000000000000e+02 8.065865164273901655e+02 1.216409413443187315e+00 1.131390633396190532e-01
